task_name,agent_status,stop_reason,reward,checks_passed,checks_total,checks_failed,checks_errors,fixture_changes,exception_type,failed_checks
advanced-json-to-rfc4180-csv-converter,provider_error,모델 제공자 오류: Ollama 응답이 완결되지 않았다 (done_reason='length'),0,0,90,90,0,0,AgentIncomplete,test_outputs::test_csv_file_created | test_outputs::test_csv_file_not_empty | test_outputs::test_utf8_bom | test_outputs::test_crlf_line_endings | test_outputs::test_header_row_present | test_outputs::test_header_field_count | test_outputs::test_data_row_count | test_outputs::test_nested_object_flattening | test_outputs::test_three_level_nesting | test_outputs::test_missing_nested_level | test_outputs::test_amount_us_format | test_outputs::test_amount_european_format | test_outputs::test_amount_yen_no_decimal | test_outputs::test_amount_european_large | test_outputs::test_amount_rounding | test_outputs::test_amount_scientific_notation | test_outputs::test_discount_scientific_notation | test_outputs::test_amount_indian_format | test_outputs::test_amount_swiss_format | test_outputs::test_amount_negative_leading | test_outputs::test_amount_negative_accounting | test_outputs::test_discount_accounting | test_outputs::test_discount_trailing_negative | test_outputs::test_discount_percentage | test_outputs::test_discount_european_format | test_outputs::test_discount_text_extraction | test_outputs::test_amount_fullwidth_digits | test_outputs::test_amount_zero_width_stripped | test_outputs::test_currency_uppercase | test_outputs::test_date_iso_format | test_outputs::test_date_european_format | test_outputs::test_date_us_format | test_outputs::test_date_slash_format | test_outputs::test_date_unix_timestamp | test_outputs::test_date_millisecond_timestamp | test_outputs::test_date_iso_with_timezone_z | test_outputs::test_date_iso_with_offset | test_outputs::test_status_normalization_completed | test_outputs::test_status_normalization_pending | test_outputs::test_status_normalization_cancelled | test_outputs::test_status_whitespace_trim | test_outputs::test_array_pipe_delimiter | test_outputs::test_empty_array | test_outputs::test_array_with_null_elements | test_outputs::test_array_null_and_empty_mixed | test_outputs::test_items_sku_extraction | test_outputs::test_items_fallback_to_code | test_outputs::test_items_mixed_fallback | test_outputs::test_items_no_matching_key | test_outputs::test_null_to_empty_string | test_outputs::test_missing_field_empty_string | test_outputs::test_boolean_lowercase | test_outputs::test_quoted_field_with_comma | test_outputs::test_escaped_double_quotes | test_outputs::test_newline_in_field | test_outputs::test_unicode_japanese | test_outputs::test_unicode_emoji | test_outputs::test_unicode_hebrew | test_outputs::test_unicode_arabic | test_outputs::test_unicode_accented | test_outputs::test_unicode_nfd_to_nfc | test_outputs::test_zero_width_characters_stripped | test_outputs::test_zero_width_in_customer_name | test_outputs::test_pipe_in_data | test_outputs::test_whitespace_preserved | test_outputs::test_customer_name_whitespace_preserved | test_outputs::test_empty_customer_name | test_outputs::test_special_chars_preserved | test_outputs::test_no_trailing_comma | test_outputs::test_row_field_count_consistency | test_outputs::test_multiline_name_field | test_outputs::test_id_values_preserved | test_outputs::test_csv_readable_by_python_csv | test_outputs::test_amount_plain_integer | test_outputs::test_shekel_currency | test_outputs::test_riyal_currency | test_outputs::test_emoji_in_tags | test_outputs::test_emoji_in_sku | test_outputs::test_metadata_source_values | test_outputs::test_quoted_text_in_notes | test_outputs::test_german_umlaut | test_outputs::test_zero_amount | test_outputs::test_japanese_in_tags | test_outputs::test_arabic_in_notes | test_outputs::test_city_hebrew | test_outputs::test_city_arabic | test_outputs::test_city_japanese | test_outputs::test_discount_null_to_zero | test_outputs::test_empty_string_discount | test_outputs::test_total_row_count
detect-corrupted-blockchain-transaction,provider_error,모델 제공자 오류: Ollama 응답이 완결되지 않았다 (done_reason='length'),0,2,11,1,8,0,AgentIncomplete,test_outputs::test_01_file_exists | test_outputs::test_02_format_is_csv | test_outputs::test_03_transaction_id_format | test_outputs::test_04_field_name_validity | test_outputs::test_05_incorrect_value_is_hash | test_outputs::test_07_result_matches_ledger_data | test_outputs::test_08_verify_identified_error_is_actual_error | test_outputs::test_09_no_false_positives_before_target | test_outputs::test_10_solution_accuracy
extract-paper-metadata-to-json,step_limit,모델 호출 한도 20회에 걸려 멈췄다,0,12,13,1,0,0,AgentIncomplete,test_outputs::test_all_papers_processed
implement-depgraph-dependency-resolver,step_limit,모델 호출 한도 20회에 걸려 멈췄다,0,0,13,13,0,0,AgentIncomplete,test_outputs::test_manifest_loading_and_decoding | test_outputs::test_linear_dependency_chain | test_outputs::test_complex_transitive_dependencies | test_outputs::test_diamond_dependency_compatibility | test_outputs::test_version_constraint_logic | test_outputs::test_circular_dependency_detection | test_outputs::test_version_conflict_detection | test_outputs::test_missing_package_handling | test_outputs::test_topological_sort_order | test_outputs::test_lockfile_output_format | test_outputs::test_empty_dependencies | test_outputs::test_self_dependency_error | test_outputs::test_multiple_constraints_intersection
implement-go-board-analyzer,context_limit,대화가 60176자로 한도 60000자를 넘었다. 새 세션을 시작하거나 요청을 나누세요,0,0,16,16,0,0,AgentIncomplete,test_outputs.TestGoAnalyzer::test_capture_race_semeai | test_outputs.TestGoAnalyzer::test_donut_shape_capture | test_outputs.TestGoAnalyzer::test_donut_shape_survival | test_outputs.TestGoAnalyzer::test_group_capture_complex | test_outputs.TestGoAnalyzer::test_group_capture_simple | test_outputs.TestGoAnalyzer::test_init_default | test_outputs.TestGoAnalyzer::test_invalid_coordinates | test_outputs.TestGoAnalyzer::test_linting_compliance | test_outputs.TestGoAnalyzer::test_load_malformed_json | test_outputs.TestGoAnalyzer::test_load_valid_json | test_outputs.TestGoAnalyzer::test_performance_large_board | test_outputs.TestGoAnalyzer::test_shared_liberties_logic | test_outputs.TestGoAnalyzer::test_single_stone_capture_center | test_outputs.TestGoAnalyzer::test_single_stone_capture_corner | test_outputs.TestGoAnalyzer::test_single_stone_capture_edge | test_outputs.TestGoAnalyzer::test_static_analysis
implement-lz77-file-compressor,step_limit,모델 호출 한도 20회에 걸려 멈췄다,0,2,85,83,0,0,AgentIncomplete,test_outputs.TestFileExistence::test_simple_file_exists | test_outputs.TestFileExistence::test_empty_file_exists | test_outputs.TestFileExistence::test_single_file_exists | test_outputs.TestFileExistence::test_binary_file_exists | test_outputs.TestFileExistence::test_cyclic_file_exists | test_outputs.TestFileExistence::test_large_file_exists | test_outputs.TestFileExistence::test_nullbytes_file_exists | test_outputs.TestFileExistence::test_all_test_files_compressed | test_outputs.TestBinaryFormat::test_tuple_size_multiple_of_4 | test_outputs.TestBinaryFormat::test_empty_file_format | test_outputs.TestBinaryFormat::test_single_byte_format | test_outputs.TestBinaryFormat::test_offset_range | test_outputs.TestBinaryFormat::test_length_range | test_outputs.TestBinaryFormat::test_first_tuple_zero_offset | test_outputs.TestBinaryFormat::test_offset_not_exceed_position | test_outputs.TestBinaryFormat::test_big_endian_format | test_outputs.TestBinaryFormat::test_valid_byte_sequences | test_outputs.TestBinaryFormat::test_non_empty_compressed_size | test_outputs.TestBinaryFormat::test_tuples_aligned | test_outputs.TestBinaryFormat::test_terminal_tuple_format | test_outputs.TestBinaryFormat::test_consistent_tuple_count | test_outputs.TestBinaryFormat::test_no_unnecessary_null_tuples | test_outputs.TestBinaryFormat::test_length_zero_means_literal | test_outputs.TestDecompressionCorrectness::test_decompress_simple | test_outputs.TestDecompressionCorrectness::test_decompress_empty | test_outputs.TestDecompressionCorrectness::test_decompress_single | test_outputs.TestDecompressionCorrectness::test_decompress_binary_all_bytes | test_outputs.TestDecompressionCorrectness::test_decompress_cyclic | test_outputs.TestDecompressionCorrectness::test_decompress_long_repeat | test_outputs.TestDecompressionCorrectness::test_decompress_nullbytes | test_outputs.TestDecompressionCorrectness::test_decompress_window_boundary | test_outputs.TestDecompressionCorrectness::test_decompress_cross_window | test_outputs.TestDecompressionCorrectness::test_decompress_multi_match | test_outputs.TestDecompressionCorrectness::test_decompress_incremental | test_outputs.TestDecompressionCorrectness::test_decompress_large | test_outputs.TestDecompressionCorrectness::test_decompress_exact_end | test_outputs.TestDecompressionCorrectness::test_decompress_two_same | test_outputs.TestDecompressionCorrectness::test_decompress_alternating | test_outputs.TestDecompressionCorrectness::test_decompress_progressive | test_outputs.TestDecompressionCorrectness::test_decompress_special_ascii | test_outputs.TestDecompressionCorrectness::test_decompress_utf8 | test_outputs.TestDecompressionCorrectness::test_decompress_code | test_outputs.TestDecompressionCorrectness::test_decompress_logs | test_outputs.TestCompressionEfficiency::test_compression_ratio_simple | test_outputs.TestCompressionEfficiency::test_compression_ratio_cyclic | test_outputs.TestCompressionEfficiency::test_compression_ratio_long_repeat | test_outputs.TestCompressionEfficiency::test_compression_ratio_large | test_outputs.TestCompressionEfficiency::test_compression_not_bloated | test_outputs.TestCompressionEfficiency::test_alternating_pattern_compression | test_outputs.TestCompressionEfficiency::test_nullbytes_compression | test_outputs.TestCompressionEfficiency::test_logs_compression | test_outputs.TestCompressionEfficiency::test_code_compression | test_outputs.TestCompressionEfficiency::test_minimum_tuple_count | test_outputs.TestMatchSelection::test_greedy_matching | test_outputs.TestMatchSelection::test_smallest_offset_selection | test_outputs.TestMatchSelection::test_max_match_length_18 | test_outputs.TestMatchSelection::test_cyclic_pattern_extension | test_outputs.TestMatchSelection::test_no_match_for_first_char | test_outputs.TestMatchSelection::test_match_within_window | test_outputs.TestMatchSelection::test_window_boundary_matches | test_outputs.TestMatchSelection::test_cross_window_no_match | test_outputs.TestMatchSelection::test_prefer_recent_over_old | test_outputs.TestMatchSelection::test_overlapping_match_handling | test_outputs.TestEdgeCases::test_nul_byte_handling | test_outputs.TestEdgeCases::test_all_256_byte_values | test_outputs.TestEdgeCases::test_high_bytes | test_outputs.TestEdgeCases::test_control_characters | test_outputs.TestEdgeCases::test_utf8_multibyte | test_outputs.TestEdgeCases::test_exact_18_byte_match | test_outputs.TestEdgeCases::test_file_ending_with_match | test_outputs.TestEdgeCases::test_very_short_patterns | test_outputs.TestEdgeCases::test_progressive_lengths | test_outputs.TestEdgeCases::test_incremental_patterns | test_outputs.TestEdgeCases::test_newline_handling | test_outputs.TestEdgeCases::test_carriage_return_handling | test_outputs.TestEdgeCases::test_tab_handling | test_outputs.TestEdgeCases::test_space_sequences | test_outputs.TestEdgeCases::test_mixed_content | test_outputs.TestStress::test_large_file_integrity | test_outputs.TestStress::test_all_files_roundtrip | test_outputs.TestStress::test_byte_by_byte_comparison | test_outputs.TestStress::test_window_boundary_stress | test_outputs.TestStress::test_compression_determinism
implement-nonogram-puzzle-solver,step_limit,모델 호출 한도 20회에 걸려 멈췄다,0,4,13,9,0,0,AgentIncomplete,test_outputs::test_script_exists | test_outputs::test_basic_solution_run | test_outputs::test_solvable_puzzle_run | test_outputs::test_edge_case_empty_puzzle | test_outputs::test_checkerboard_5x5 | test_outputs::test_full_3x3 | test_outputs::test_unsolvable_2x2 | test_outputs::test_hollow_box_5x5 | test_outputs::test_large_numbers_in_clues
python-sokoban-bfs-solver,step_limit,모델 호출 한도 20회에 걸려 멈췄다,0,4,12,8,0,1,AgentIncomplete,test_outputs::test_solution_valid | test_outputs::test_completes_quickly | test_outputs::test_simple_level | test_outputs::test_medium_level | test_outputs::test_already_solved_level | test_outputs::test_solution_optimality | test_outputs::test_moves_are_sequential | test_outputs::test_output_file_format
python-sudoku-solver-backtracking,step_limit,모델 호출 한도 20회에 걸려 멈췄다,0,2,22,20,0,0,AgentIncomplete,test_outputs::test_solution_file_exists | test_outputs::test_solution_file_not_empty | test_outputs::test_solution_file_format | test_outputs::test_solution_all_digits_valid | test_outputs::test_solution_rows_valid | test_outputs::test_solution_columns_valid | test_outputs::test_solution_boxes_valid | test_outputs::test_solution_complete_validation | test_outputs::test_solution_matches_original_puzzle | test_outputs::test_solution_fills_all_empty_cells | test_outputs::test_solution_no_zeros | test_outputs::test_solution_each_row_sum_45 | test_outputs::test_solution_each_column_sum_45 | test_outputs::test_solution_each_box_sum_45 | test_outputs::test_solution_corners_valid | test_outputs::test_solution_center_valid | test_outputs::test_easy_puzzle_can_be_solved | test_outputs::test_hard_puzzle_can_be_solved | test_outputs::test_already_solved_puzzle | test_outputs::test_solution_generated_within_reasonable_time
recover-encrypted-db-credentials,step_limit,모델 호출 한도 20회에 걸려 멈췄다,0,0,30,28,0,0,AgentIncomplete,test_outputs.TestRecoveredKeysFileExists::test_file_exists | test_outputs.TestRecoveredKeysFileExists::test_file_not_empty | test_outputs.TestRecoveredKeysFileExists::test_file_has_correct_line_count | test_outputs.TestKeyFormat::test_all_keys_exactly_32_chars | test_outputs.TestKeyFormat::test_all_keys_start_with_aes256 | test_outputs.TestKeyFormat::test_all_keys_end_with_hash | test_outputs.TestKeyFormat::test_all_keys_uppercase_and_digits_only | test_outputs.TestKeyFormat::test_chars_after_prefix_contain_digit | test_outputs.TestKeyFormat::test_chars_before_suffix_contain_letter | test_outputs.TestKeyCorrectness::test_exact_keys_match | test_outputs.TestKeyCorrectness::test_no_decoy_keys_included | test_outputs.TestKeyCorrectness::test_first_key_correct | test_outputs.TestKeyCorrectness::test_second_key_correct | test_outputs.TestKeyCorrectness::test_third_key_correct | test_outputs.TestOutputFormat::test_keys_are_sorted_alphabetically | test_outputs.TestOutputFormat::test_no_trailing_whitespace | test_outputs.TestOutputFormat::test_no_empty_lines | test_outputs.TestOutputFormat::test_no_duplicate_keys | test_outputs.TestEdgeCases::test_key_not_31_chars | test_outputs.TestEdgeCases::test_key_not_33_chars | test_outputs.TestEdgeCases::test_decoy_with_no_digit_excluded | test_outputs.TestEdgeCases::test_decoy_with_no_letter_excluded | test_outputs.TestEdgeCases::test_short_decoy_excluded | test_outputs.TestEdgeCases::test_no_lowercase_keys | test_outputs.TestEdgeCases::test_no_special_characters | test_outputs.TestValidationLogic::test_prefix_validation | test_outputs.TestValidationLogic::test_suffix_validation | test_outputs.TestValidationLogic::test_middle_section_validation
